          Array Size	         comparisons            n log(n)
                  37                   1             133.604
                  51                   1             200.523
                  92                   1             416.005
                  95                   1             432.618
                  95                   1             432.618
                 100                   1             460.517
                 104                   1             483.017
                 140                   1              691.83
                 145                   1             721.626
                 177                   1             916.179
                 180                   1             934.732
                 181                   1             940.928
                 185                   1             965.766
                 192                   1             1009.44
                 209                   1             1116.55
                 209                   1             1116.55
                 216                   1             1161.06
                 223                   1              1205.8
                 224                   1             1212.21
                 227                   1             1231.46
                 239                   1             1308.87
                 300                   1             1711.13
                 315                   1             1812.06
                 316                   1             1818.81
                 331                   1              1920.5
                 347                   1             2029.72
                 353                   1             2070.86
                 355                   1              2084.6
                 367                   1             2167.27
                 370                   1                2188
                 383                   1              2278.1
                 402                   1             2410.57
                 431                   1             2614.49
                 431                   1             2614.49
                 448                   1             2734.95
                 452                   1             2763.38
                 456                   1             2791.86
                 472                   1             2906.09
                 489                   1             3028.07
                 490                   1             3035.26
                 507                   1             3157.86
                 508                   1             3165.08
                 528                   1             3310.08
                 544                   1             3426.63
                 546                   1             3441.23
                 550                   1             3470.46
                 569                   1             3609.67
                 570                   1             3617.01
                 572                   1             3631.71
                 590                   1             3764.27
                 613                   1             3934.46
                 614                   1             3941.88
                 615                   1              3949.3
                 634                   1              4090.6
                 647                   1             4187.61
                 657                   1             4262.41
                 657                   1             4262.41
                 658                   1              4269.9
                 677                   1             4412.46
                 687                   1             4487.71
                 697                   1             4563.11
                 707                   1             4638.65
                 707                   1             4638.65
                 711                   1              4668.9
                 729                   1             4805.33
                 745                   1             4926.97
                 767                   1             5094.79
                 768                   1             5102.43
                 778                   1             5178.93
                 787                   1              5247.9
                 798                   1             5332.32
                 799                   1             5340.01
                 808                   1             5409.21
                 809                   1              5416.9
                 816                   1              5470.8
                 840                   1             5656.06
                 844                   1                5687
                 850                   1             5733.45
                 851                   1              5741.2
                 856                   1             5779.94
                 857                   1              5787.7
                 858                   1             5795.45
                 872                   1             5904.13
                 880                   1             5966.33
                 881                   1             5974.11
                 895                   1             6083.16
                 898                   1             6106.55
                 909                   1             6192.42
                 912                   1             6215.86
                 914                   1              6231.5
                 925                   1             6317.56
                 935                   1             6395.91
                 977                   1             6726.14
                 980                   1              6749.8
                 980                   1              6749.8
                 981                   1             6757.69
                 982                   1             6765.58
                 986                   1             6797.15
                 986                   1             6797.15
                 989                   1             6820.83
