          Array Size	         comparisons            n log(n)
                  37                  35             133.604
                  51                  49             200.523
                  92                  90             416.005
                  95                  93             432.618
                  95                  93             432.618
                 100                  98             460.517
                 104                 102             483.017
                 140                 138              691.83
                 145                 143             721.626
                 177                 175             916.179
                 180                 178             934.732
                 181                 179             940.928
                 185                 183             965.766
                 192                 190             1009.44
                 209                 207             1116.55
                 209                 207             1116.55
                 216                 214             1161.06
                 223                 221              1205.8
                 224                 222             1212.21
                 227                 225             1231.46
                 239                 237             1308.87
                 300                 298             1711.13
                 315                 313             1812.06
                 316                 314             1818.81
                 331                 329              1920.5
                 347                 345             2029.72
                 353                 351             2070.86
                 355                 353              2084.6
                 367                 365             2167.27
                 370                 368                2188
                 383                 381              2278.1
                 402                 400             2410.57
                 431                 429             2614.49
                 431                 429             2614.49
                 448                 446             2734.95
                 452                 450             2763.38
                 456                 454             2791.86
                 472                 470             2906.09
                 489                 487             3028.07
                 490                 488             3035.26
                 507                 505             3157.86
                 508                 506             3165.08
                 528                 526             3310.08
                 544                 542             3426.63
                 546                 544             3441.23
                 550                 548             3470.46
                 569                 567             3609.67
                 570                 568             3617.01
                 572                 570             3631.71
                 590                 588             3764.27
                 613                 611             3934.46
                 614                 612             3941.88
                 615                 613              3949.3
                 634                 632              4090.6
                 647                 645             4187.61
                 657                 655             4262.41
                 657                 655             4262.41
                 658                 656              4269.9
                 677                 675             4412.46
                 687                 685             4487.71
                 697                 695             4563.11
                 707                 705             4638.65
                 707                 705             4638.65
                 711                 709              4668.9
                 729                 727             4805.33
                 745                 743             4926.97
                 767                 765             5094.79
                 768                 766             5102.43
                 778                 776             5178.93
                 787                 785              5247.9
                 798                 796             5332.32
                 799                 797             5340.01
                 808                 806             5409.21
                 809                 807              5416.9
                 816                 814              5470.8
                 840                 838             5656.06
                 844                 842                5687
                 850                 848             5733.45
                 851                 849              5741.2
                 856                 854             5779.94
                 857                 855              5787.7
                 858                 856             5795.45
                 872                 870             5904.13
                 880                 878             5966.33
                 881                 879             5974.11
                 895                 893             6083.16
                 898                 896             6106.55
                 909                 907             6192.42
                 912                 910             6215.86
                 914                 912              6231.5
                 925                 923             6317.56
                 935                 933             6395.91
                 977                 975             6726.14
                 980                 978              6749.8
                 980                 978              6749.8
                 981                 979             6757.69
                 982                 980             6765.58
                 986                 984             6797.15
                 986                 984             6797.15
                 989                 987             6820.83
