          Array Size	         comparisons            n log(n)
                  37                 222             133.604
                  51                 330             200.523
                  92                 670             416.005
                  95                 685             432.618
                  95                 696             432.618
                 100                 739             460.517
                 104                 775             483.017
                 140                1107              691.83
                 145                1144             721.626
                 177                1446             916.179
                 180                1477             934.732
                 181                1490             940.928
                 185                1540             965.766
                 192                1616             1009.44
                 209                1774             1116.55
                 209                1770             1116.55
                 216                1849             1161.06
                 223                1911              1205.8
                 224                1919             1212.21
                 227                1945             1231.46
                 239                2061             1308.87
                 300                2694             1711.13
                 315                2854             1812.06
                 316                2859             1818.81
                 331                3011              1920.5
                 347                3184             2029.72
                 353                3253             2070.86
                 355                3275              2084.6
                 367                3414             2167.27
                 370                3437                2188
                 383                3576              2278.1
                 402                3797             2410.57
                 431                4098             2614.49
                 431                4111             2614.49
                 448                4288             2734.95
                 452                4319             2763.38
                 456                4365             2791.86
                 472                4561             2906.09
                 489                4742             3028.07
                 490                4718             3035.26
                 507                4925             3157.86
                 508                4913             3165.08
                 528                5157             3310.08
                 544                5357             3426.63
                 546                5389             3441.23
                 550                5410             3470.46
                 569                5640             3609.67
                 570                5680             3617.01
                 572                5656             3631.71
                 590                5861             3764.27
                 613                6116             3934.46
                 614                6149             3941.88
                 615                6157              3949.3
                 634                6370              4090.6
                 647                6523             4187.61
                 657                6643             4262.41
                 657                6641             4262.41
                 658                6659              4269.9
                 677                6904             4412.46
                 687                6992             4487.71
                 697                7119             4563.11
                 707                7236             4638.65
                 707                7217             4638.65
                 711                7288              4668.9
                 729                7485             4805.33
                 745                7703             4926.97
                 767                7952             5094.79
                 768                7933             5102.43
                 778                8076             5178.93
                 787                8149              5247.9
                 798                8300             5332.32
                 799                8300             5340.01
                 808                8415             5409.21
                 809                8393              5416.9
                 816                8496              5470.8
                 840                8747             5656.06
                 844                8842                5687
                 850                8909             5733.45
                 851                8896              5741.2
                 856                8968             5779.94
                 857                9009              5787.7
                 858                8985             5795.45
                 872                9183             5904.13
                 880                9260             5966.33
                 881                9286             5974.11
                 895                9480             6083.16
                 898                9490             6106.55
                 909                9624             6192.42
                 912                9632             6215.86
                 914                9669              6231.5
                 925                9805             6317.56
                 935                9912             6395.91
                 977               10448             6726.14
                 980               10492              6749.8
                 980               10506              6749.8
                 981               10480             6757.69
                 982               10503             6765.58
                 986               10531             6797.15
                 986               10548             6797.15
                 989               10605             6820.83
