          Array Size	         comparisons            n log(n)
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                  75                 107             323.812
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1143              5787.7
                 857                1151              5787.7
                 880                1159             5966.33
